OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
999;4;4;-1;38;57
1000;4;4;-1;38;56
1001;4;4;-1;38;66
1002;4;4;-1;38;68
1003;4;4;-1;38;78
1004;4;4;-1;38;71
1005;4;4;-1;38;71
1006;4;4;-1;38;60
1007;4;4;-1;38;107
1008;4;4;-1;38;113
1009;4;4;-1;38;103
1010;4;4;-1;38;104
1011;4;4;-1;38;112
1012;4;4;-1;38;114
1013;4;4;-1;38;120
1014;4;4;-1;38;122
1015;4;4;-1;38;124
1016;4;4;-1;38;126
1017;4;4;-1;38;112
1018;4;4;-1;38;112
1019;4;4;-1;38;119
1020;4;4;-1;38;116
1021;4;4;-1;38;113
1022;4;4;-1;38;117
1023;4;4;-1;38;118
1024;4;4;-1;38;110
1025;4;4;-1;38;118
1026;4;4;-1;38;124
1027;4;4;-1;38;122
